title,year,platform
Wii Sports,2006,Wii
Super Mario Bros.,1985,NES
Mario Kart Wii,2008,Wii
Wii Sports Resort,2009,Wii
Pokémon Red / Green / Blue Version,1996,GB
Tetris,1989,GB
New Super Mario Bros.,2006,DS
Wii Play,2006,Wii
Duck Hunt,1984,NES
New Super Mario Bros. Wii,2009,Wii
Nintendogs,2005,DS
Pokémon Gold / Silver Version,1999,GB
Wii Fit,2007,Wii
Mario Kart DS,2005,DS
Wii Fit Plus,2009,Wii
Grand Theft Auto: San Andreas,2004,PS2
Super Mario World,1990,SNES
Kinect Adventures!,2010,X360
Brain Age: Train Your Brain in Minutes a Day,2005,DS
Super Mario Land,1989,GB
Pokémon Diamond / Pearl Version,2006,DS
Super Mario Bros. 3,1988,NES
Grand Theft Auto: Vice City,2002,PS2
Pokémon Ruby / Sapphire Version,2002,GBA
Brain Age 2: More Training in Minutes a Day,2005,DS
Gran Turismo 3: A-Spec,2001,PS2
Call of Duty: Modern Warfare 3,2011,X360
Pokémon Black / White Version,2010,DS
Pokémon Yellow: Special Pikachu Edition,1998,GB
Call of Duty: Black Ops,2010,X360
Grand Theft Auto III,2001,PS2
Call of Duty: Modern Warfare 2,2009,X360
Call of Duty: Modern Warfare 3,2011,PS3
Call of Duty: Black Ops II,2012,X360
Call of Duty: Black Ops,2010,PS3
Super Mario 64,1996,N64
Animal Crossing: Wild World,2005,DS
Halo 3,2007,X360
Super Smash Bros. Brawl,2008,Wii
Gran Turismo 4,2004,PS2
Pokémon Heart Gold / Soul Silver Version,2009,DS
The Sims,2000,PC
Super Mario Land 2: 6 Golden Coins,1992,GB
Gran Turismo,1997,PS
Super Mario Galaxy,2007,Wii
Super Mario All-Stars,1993,SNES
Pokémon FireRed / LeafGreen Version,2004,GBA
Gran Turismo 5,2010,PS3
Call of Duty: Black Ops II,2012,PS3
Grand Theft Auto IV,2008,X360
Call of Duty: Modern Warfare 2,2009,PS3
Super Mario 64,2004,DS
Mario Kart 64,1996,N64
Just Dance 3,2011,Wii
Grand Theft Auto IV,2008,PS3
Final Fantasy VII,1997,PS
Gran Turismo 2,1999,PS
Halo: Reach,2010,X360
Just Dance 2,2010,Wii
Donkey Kong Country,1994,SNES
Call of Duty 4: Modern Warfare,2007,X360
Super Mario Kart,1992,SNES
Mario Party DS,2007,DS
Halo 2,2004,XB
Super Mario 3D Land,2011,3DS
Halo 4,2012,X360
Wii Party,2010,Wii
GoldenEye 007,1997,N64
Final Fantasy X,2001,PS2
Myst,1994,PC
Mario Kart 7,2011,3DS
Mario Party 8,2007,Wii
Mario & Sonic at the Olympic Games,2007,Wii
Final Fantasy VIII,1999,PS
Pac-Man,1982,2600
The Legend of Zelda: Ocarina of Time,1998,N64
Crash Bandicoot 2: Cortex Strikes Back,1997,PS
Pokémon Platinum Version,2008,DS
Grand Theft Auto: Liberty City Stories,2005,PSP
Super Mario Bros. 2,1988,NES
The Elder Scrolls V: Skyrim,2011,X360
Need for Speed Underground,2003,PS2
Tekken 3,1998,PS
Crash Bandicoot 3: Warped,1998,PS
Super Smash Bros. Melee,2001,GC
Super Mario Galaxy 2,2010,Wii
Just Dance,2009,Wii
Mario Kart: Double Dash!!,2003,GC
Call of Duty: World at War,2008,X360
Need for Speed Underground 2,2004,PS2
Battlefield 3,2011,X360
Medal of Honor: Frontline,2002,PS2
Crash Bandicoot,1996,PS
The Legend of Zelda: Twilight Princess,2006,Wii
Pokemon Black / White Version 2,2012,DS
Gears of War 2,2008,X360
Big Brain Academy,2005,DS
FIFA Soccer 13,2012,PS3
The Legend of Zelda,1986,NES
Halo: Combat Evolved,2001,XB
Battlefield 3,2011,PS3
Zumba Fitness,2010,Wii
Pokémon Emerald Version,2004,GBA
